first_name,last_name,birthday,deathday
Philip,Pullman,1946-10-19,null
William ,Shakespeare,1564-04-26,1616-04-23
Paulo,Coelho,1947-08-24,null
Agatha ,Christie,1890-09-15,1976-01-12
Amy,Tan,1952-02-19,null
Jane ,Austen,1775-12-16,1817-07-18
Emily,Bronte,1818-07-30,1848-12-19
Margaret ,Atwood,1939-11-18,null
Octavia,Butler,1947-06-22,2006-02-24
Louisa May,Alcott,1832-11-29,1888-03-06
Louise ,Penny,1958-07-01,null
Salman,Rushdie,1947-06-19,null
Mo,Willems,1968-02-11,null
Beverly,Cleary,1916-04-12,null
Peter,Vollhardt,1946-03-07,null
Maya,Angelou,1928-04-04,2014-05-28
Toni,Morrison,1931-02-18,2019-08-05
Shirley,LeFlore,1940-03-06,2019-05-12
