title,author_id,isbn,available,genre_id
A Midsummer's Night Dream,2,978149413,1,23
Romeo and Juliet,2,988535196,1,3
The Golden Compass,1,451664226,1,1
The Subtle Knife,1,160419390,1,1
The Amber Spyglass,1,94387895,1,1
The Alchemist,3,464069772,1,2
And Then There Were None,4,335973357,1,6
The Joy Luck Club,5,990050329,1,10
The Moon Lady,5,91720786,1,24
Sense and Sensibility,6,156879860,1,3
Northanger Abbey,6,951273178,1,3
Pride and Prejudice,6,415886839,1,3
Mansfield Park,6,188534067,1,3
Emma,6,994896202,1,3
Persuasion,6,28150097,1,3
Lady Susan,6,230962926,1,3
Wuthering Heights,7,280569946,1,3
The Handmaid's Tale,8,639239663,1,5
The Testaments,8,826875490,1,5
The Parable of the Sower,9,283359358,1,5
Little Women,10,495409887,1,23
Still Life,11,455128657,1,6
A Fatal Grace,11,832517012,1,6
The Cruelest Month,11,419285319,1,6
The Murder Stone,11,656621400,1,6
The Brutal Telling,11,144255852,1,6
Bury Your Dead,11,208180961,1,6
A Trick of the Light ,11,93451531,1,6
Midnight's Children,12,881082293,1,10
Don't Let the Pigeon Drive the Bus!,13,18409532,1,24
Beezus and Ramona,14,744412630,1,24
Organic Chemistry,15,604328803,1,25
I Know Why the Caged Bird Sings,16,909947112,1,12
Beloved,17,46736233,1,10
Brassbones and Rainbows,18,330608463,1,26
